Country Name,"Series Name","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
Australia,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","57.094","56.124","55.664","56.831","58.167","58.124","57.846","58.171","58.451","59.178","59.037","59.336","59.829","60.043","61.164","61.677","62.344","62.713","61.804","62.002","62.116","61.762","61.283","60.785","61.07","61.175","61.536","62.161","62.547","60.829","62.478","63.699"
Austria,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","53.93","54.558","54.281","56.969","56.845","55.724","55.43","55.601","56.217","55.957","55.905","56.1","56.323","54.575","55.139","55.833","56.892","57.557","57.109","57.348","57.559","57.672","57.535","57.164","57.113","57.426","57.703","58.297","58.514","57.648","57.2","58.441"
Azerbaijan,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","71.417","72.44","72.368","72.805","73.276","72.628","71.569","70.317","69.208","67.8","66.495","65.23","64.104","62.552","61.719","60.538","57.958","57.314","57.52","57.438","57.839","58.396","58.813","59.626","60.287","61.401","61.924","62.457","65.093","62.649","64.122","66.052"
"Bahamas, The","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","63.597","62.188","64.203","63.82","66.22","65.911","67.436","68.861","69.419","69.662","69.977","68.371","66.898","67.292","67.298","69.289","68.959","68.516","63.731","63.523","63.37","63.718","61.907","63.58","64.789","64.215","66.344","66.178","66.128","59.661","62.192","64.611"
Bahrain,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","64.648","64.629","64.588","64.409","64.333","64.248","64.344","64.5","64.762","65.161","65.61","66.143","66.573","66.835","67.149","67.677","68.442","69.355","70.317","70.944","70.286","70.609","70.671","70.197","70.03","70.434","70.961","71.398","71.493","70.08","70.448","70.881"
Bangladesh,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","56.853","56.854","56.867","56.891","56.919","56.847","56.709","56.576","56.445","56.316","56.076","55.85","55.635","55.648","55.664","55.985","55.526","55.066","54.605","55.345","54.953","54.564","54.175","54","53.824","53.65","55.781","55.916","56.024","54.946","55.712","55.794"
Barbados,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","51.859","50.991","50.444","52.004","54.76","57.144","57.903","59.367","60.633","62.273","62.699","61.422","61.632","63.012","63.244","61.945","62.776","62.129","60.835","60.374","60.027","58.519","59.005","56.123","57.692","60.041","58.821","58.281","57.061","54.932","55.41","56.828"
Belarus,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","58.859","57.261","53.932","51.437","48.648","44.505","48.494","50.189","50.959","51.843","52.636","53.368","54.043","54.706","55.416","56.178","56.993","57.874","58.757","59.246","59.713","60.124","60.425","60.674","60.886","61.067","61.303","61.835","62.129","62.052","62.297","62.699"
Belgium,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","45.831","46.305","45.712","45.473","45.81","45.631","45.998","46.111","47.42","48.844","47.745","47.653","47.406","48.201","48.801","48.728","49.592","49.933","49.241","49.588","49.402","49.235","49.045","48.951","48.789","48.951","50.023","50.966","51.475","50.833","51.079","52.036"
Belize,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","50.232","50.566","50.652","49.846","49.903","49.952","51.431","50.3","51.686","53.106","54.36","53.996","54.017","54.087","54.113","55.252","56.006","56.426","56.547","56.709","56.918","57.167","57.4","58.258","59.029","59.753","59.804","58.747","57.748","54.854","55.539","57.715"
Benin,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","70.955","71.07","71.025","71.001","71.086","71.08","71.164","71.152","71.187","71.209","71.244","71.255","71.224","71.208","71.164","71.163","71.176","71.211","71.183","71.118","69.975","68.969","67.989","66.895","65.608","64.276","63.001","61.818","61.811","61.073","60.015","61.478"
Bermuda,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Bhutan,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","69.641","69.44","69.243","69.046","68.842","68.779","68.736","68.71","68.709","68.555","68.39","68.459","68.55","68.128","67.763","67.683","67.226","67.078","66.94","65.887","65.233","63.08","63.426","60.963","61.593","61.231","60.867","60.503","64.555","64.418","65.774","65.75"
Bolivia,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","67.485","67.372","67.557","67.772","68.3","68.715","69.19","69.554","69.817","68.336","68.195","68.196","68.149","68.163","68.163","70.849","69.165","69.943","69.978","70.174","70.36","67.2","67.609","69.928","64.994","65.002","66.125","69.273","68.081","64.175","64.614","67.436"
Bosnia and Herzegovina,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37.43","36.642","35.643","34.726","33.977","33.535","33.075","32.639","32.185","31.717","31.249","31.028","30.752","30.472","30.173","29.903","31.269","34.435","34.104","33.219","32.827","32.89","32.854","33.529","33.488","34.439","36.711","37.545","39.655","39.373","42.439","43.836"
Botswana,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","51.099","49.461","47.889","46.303","46.012","45.743","45.918","45.782","47.164","48.319","46.983","45.572","44.308","45.69","46.972","48.386","49.838","51.204","52.134","48.569","48.907","49.49","49.774","50.004","50.139","50.282","50.475","50.948","51.062","49.159","49.348","49.341"
Brazil,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","59.651","59.646","59.997","59.749","59.521","57.309","57.542","56.923","56.853","57.294","57.741","58.525","58.053","59.249","59.541","59.815","59.733","60.196","59.604","59.109","58.477","59.165","59.215","59.217","58.361","56.483","55.971","56.31","56.948","52.03","54.075","57.503"
British Virgin Islands,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Brunei Darussalam,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","62.536","62.701","62.861","63.021","63.18","63.339","63.494","63.647","63.803","63.96","64.115","63.909","63.702","63.494","63.284","63.078","62.87","62.661","62.448","62.242","62.038","61.418","60.789","60.156","59.057","57.965","56.884","59.701","59.944","58.909","60.62","61.509"
Bulgaria,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","50.598","48.423","47.072","48.342","48.51","46.982","45.581","45.602","43.86","42.041","41.137","41.616","43.066","44.464","44.681","46.7","48.981","50.791","49.404","47.902","46.597","46.567","46.925","47.957","49.128","49.293","51.94","52.438","54.187","52.706","52.348","54.183"
Burkina Faso,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","81.89","81.249","80.714","79.914","79.302","78.711","78.046","77.298","76.47","75.601","74.79","73.908","73.205","71.842","70.648","70.037","69.503","68.521","67.508","66.687","65.761","64.895","63.856","62.812","62.605","62.481","62.406","62.353","62.279","61.402","61.65","61.958"
Burundi,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","86.724","86.139","85.317","84.627","83.988","83.184","82.373","81.557","80.736","79.957","79.209","78.436","77.549","76.788","75.854","74.952","75.76","76.578","76.863","77.146","77.297","77.45","77.603","77.713","78.11","78.436","78.635","78.749","78.682","77.778","77.903","78.127"
Cabo Verde,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","52.442","52.451","52.507","52.72","52.69","52.649","52.437","52.328","52.243","52.214","51.964","51.783","51.527","51.586","51.535","51.52","51.524","51.44","51.204","52.812","52.644","52.546","52.406","52.224","52.091","52.019","51.936","48.798","50.454","46.756","47.563","50.361"
Cambodia,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","77.383","77.235","77.224","79.364","79.056","78.925","78.548","77.846","77.172","76.481","75.769","75.009","74.252","73.451","72.661","71.841","70.999","70.53","69.901","68.956","68.264","67.481","68.779","69.833","71.245","72.176","73.741","74.863","75.952","75.189","75.772","75.851"
Cameroon,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","74.741","74.662","74.532","74.829","75.108","75.692","75.832","75.914","75.916","75.871","75.871","76.435","77.055","77.692","78.178","78.711","79.229","77.316","75.261","73.097","72.231","71.369","70.475","69.555","69.532","69.483","69.391","69.297","69.207","68.315","67.944","69.146"
Canada,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","59.709","58.342","57.904","58.383","58.669","58.449","58.967","59.737","60.563","61.269","61.151","61.739","62.446","62.637","62.601","62.677","63.286","63.317","61.414","61.437","61.613","61.586","61.715","61.358","61.264","61.084","61.532","61.59","61.971","57.836","60.17","61.568"
Cayman Islands,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Central African Republic,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","66.409","66.31","66.243","66.193","66.204","66.254","66.306","66.315","66.294","66.291","66.306","66.305","66.297","66.341","66.351","66.453","66.531","66.603","66.547","66.461","66.587","66.709","66.747","66.713","66.617","66.509","66.386","66.346","66.195","65.161","65.112","65.986"
Chad,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","71.7","71.779","71.794","71.344","70.862","70.46","69.979","69.526","69.043","68.542","68.076","67.62","67.174","66.725","66.242","65.722","65.145","64.588","64.091","63.614","63.088","62.584","62.035","61.534","60.985","60.408","59.83","59.292","59.243","58.308","58.251","59.557"
Channel Islands,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","54.057","53.916","53.339","53.337","53.809","54.262","54.677","55.209","55.761","56.09","56.839","57.199","57.28","57.052","56.928","56.714","56.545","56.78","56.24","55.813","55.173","54.646","54.254","54.316","54.579","54.791","54.98","55.144","55.11","54.056","54.108","54.472"
Chile,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","50.527","51.967","52.407","52.005","53.413","52.434","52.577","52.602","50.328","50.045","49.294","48.966","49.654","49.771","50.534","51.749","52.515","53.111","51.751","53.754","55.627","55.783","56.074","56.019","56.012","55.645","55.774","55.563","55.286","50.194","52.209","55.178"
China,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","77.072","76.849","76.373","75.982","75.677","75.355","75.039","74.8","74.559","74.316","73.375","72.507","71.71","71.23","70.652","70.154","69.64","68.886","68.205","67.746","67.636","67.185","66.751","66.425","66.078","65.739","65.295","64.887","64.307","62.719","64.056","63.568"
Colombia,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","59.968","60.619","62.046","62.113","62.11","60.031","59.96","57.908","53.954","53.752","57.467","56.956","58.524","57.54","58.113","57.453","56.734","56.929","58.869","59.601","60.563","61.29","61.048","61.095","61.276","60.495","60.01","59.134","57.708","53.285","55.388","56.497"
Comoros,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40.464","40.622","40.562","40.514","40.374","40.236","40.284","40.152","40.083","40.048","39.956","39.845","39.612","39.489","39.776","40.064","40.329","40.626","40.915","41.239","41.524","41.806","42.099","42.352","42.232","42.14","42.077","42.015","41.884","41.123","41.323","41.586"
"Congo, Dem. Rep.","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","69.965","69.898","69.844","69.905","70.01","70.176","70.172","70.143","70.094","70.066","70.088","70.181","70.318","70.407","70.439","69.414","68.374","67.328","66.24","65.178","64.104","63.065","63.091","63.12","63.101","63.022","62.926","62.873","62.847","61.715","62.089","62.685"
"Congo, Rep.","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","55.006","54.926","54.785","54.478","54.442","54.527","54.602","54.538","54.293","54.478","54.46","54.631","54.42","54.393","54.472","54.648","54.359","54.308","54.397","54.823","54.765","54.753","54.48","54.612","54.229","53.91","53.538","53.448","53.706","51.795","52.182","53.87"
Costa Rica,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","53.466","53.473","54.307","54.711","55.024","52.522","54.828","56.509","56.168","55.879","56.586","55.935","56.047","55.079","57.172","57.053","58.629","57.907","55.75","54.965","54.849","58.47","58.427","58.734","57.521","54.861","55.224","56.605","57.313","50.66","52.41","54.529"
Cote d'Ivoire,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","61.251","61.105","61.564","62.002","62.544","62.592","62.641","62.498","62.243","61.901","61.605","61.351","61.073","61.046","60.981","61.018","60.811","60.758","60.628","60.635","60.197","60.162","62.065","62.719","63.13","63.52","62.61","62.871","63.128","62.377","62.434","62.773"
Croatia,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","50.677","50.323","49.978","49.715","49.424","49.117","48.619","47.241","45.622","43.852","43.527","43.469","43.29","44.163","43.368","43.715","47.685","48.589","48.233","46.47","44.748","43.187","42.07","43.307","44.198","44.597","45.825","46.875","47.717","47.198","47.84","48.66"
Cuba,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","48.292","47.54","46.638","46.89","47.246","47.867","48.223","48.663","48.872","49.512","50.344","50.794","51.454","51.934","52.323","52.821","53.183","53.472","54.671","53.625","53.813","53.773","53.972","54.336","54.68","54.922","55.165","55.26","55.533","52.02","53.125","55.239"
Curacao,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Cyprus,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","57.945","58.11","57.845","57.943","58.1","57.898","57.816","57.972","56.73","57.281","59.236","59.823","60.558","59.995","59.85","60.652","61.856","61.853","60.309","60.248","58.734","55.948","53.249","53.489","53.004","53.325","54.823","57.178","58.514","57.936","59.036","60.686"
Czechia,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","60.02","59.823","58.767","58.97","59.037","58.858","58.164","57.094","55.684","55.109","55.113","55.409","54.797","54.268","54.653","55.029","55.643","55.932","54.772","54.186","54.351","54.547","55.16","55.686","56.419","57.553","58.48","59.197","59.16","58.265","58.155","58.57"
